Date,Close/Last,Volume,Open,High,Low
11/11/2020,$277.75,2987878,$277.32,$281.69,$276.1701
11/10/2020,$275.57,4828522,$272.785,$275.79,$269.25
11/09/2020,$269.97,7856419,$287.98,$288.42,$269.47
11/06/2020,$284.24,2839134,$286.73,$286.7799,$282.85
11/05/2020,$285.85,2516570,$288.35,$288.998,$284.08
11/04/2020,$282.72,3525318,$276.76,$287.04,$276.01
11/03/2020,$277.37,3037485,$274.85,$279.53,$273.72
11/02/2020,$270.74,2956798,$270.15,$274.78,$268.52
10/30/2020,$266.71,3874571,$268.82,$269.62,$262.03
10/29/2020,$269.63,2872501,$269.69,$273.7,$267.3119
10/28/2020,$269.72,3255851,$270.25,$273.6696,$268.6901
10/27/2020,$276.84,3014280,$276.99,$279.73,$276.1157
10/26/2020,$276.04,2911876,$279.64,$281.5299,$272
10/23/2020,$283,1750747,$282.38,$283.19,$279.55
10/22/2020,$281.16,2787332,$283.93,$285.68,$280.65
10/21/2020,$284.51,2304473,$285.39,$288.0187,$283.28
10/20/2020,$286.04,2281770,$285.14,$289.79,$284.13
10/19/2020,$283.73,2428441,$289.76,$290.11,$283.38
10/16/2020,$287.66,3109401,$288.25,$292.655,$287.25
10/15/2020,$287.54,2700137,$284.12,$290.25,$283.12
10/14/2020,$287.09,2221184,$289.51,$290.3,$285.15
10/13/2020,$290.36,2699882,$285.7,$290.77,$285.7
10/12/2020,$286.91,2411899,$287.39,$288.33,$286.06
10/09/2020,$285.92,2240096,$285.47,$287.28,$284.09
10/08/2020,$284.52,2256215,$283.84,$284.95,$281.1707
10/07/2020,$282.79,3423651,$280.85,$284,$280
10/06/2020,$276.47,2992517,$282.5,$283,$275.77
10/05/2020,$282.1,2330743,$280.92,$282.42,$279.7
10/02/2020,$279.31,2943577,$274.94,$281.08,$274.1032
10/01/2020,$277.62,2696923,$279.44,$280,$275.85
09/30/2020,$277.71,4779076,$273.48,$279.915,$272.52
09/29/2020,$272.11,2049239,$273.4,$273.8415,$271.1138
09/28/2020,$272.33,3061079,$271.93,$274.22,$270.3
09/25/2020,$268.55,2457922,$264.19,$270.15,$263.9194
09/24/2020,$265.7,3095558,$265.71,$269.7,$263.8801
09/23/2020,$266.55,4467612,$275.42,$276.62,$264.685
09/22/2020,$273.31,2972025,$271.68,$273.52,$270.63
09/21/2020,$272.35,3547977,$271.87,$272.8999,$266.53
09/18/2020,$275.19,6072932,$278.41,$279.835,$270.81
09/17/2020,$279.96,3166910,$277.91,$282.72,$276.96
09/16/2020,$281.63,3380045,$285.61,$286.58,$280.6801
09/15/2020,$285.58,4174935,$283.04,$286.7,$282.38
09/14/2020,$280.65,3055846,$278.55,$282.46,$278.015
09/11/2020,$276.33,3729223,$273.98,$277.98,$273.46
09/10/2020,$272.7,3156250,$278.01,$280.98,$271.17
09/09/2020,$277.04,4754651,$272.46,$279.74,$271.75
09/08/2020,$269.26,5241197,$267.11,$271.04,$262.81
09/04/2020,$269.66,5253456,$275.55,$276.77,$264.6727
09/03/2020,$274.63,5380082,$287.3,$287.7,$272.17
09/02/2020,$287.2,3464637,$284.85,$288.04,$283.6
09/01/2020,$285.94,3238088,$284.03,$286.68,$283.5
08/31/2020,$285.04,4105437,$285,$286.69,$282.87
08/28/2020,$286.29,3100102,$288.31,$288.83,$284.77
08/27/2020,$288.63,3430926,$292.22,$292.95,$286.56
08/26/2020,$291.93,4001938,$287.73,$292.12,$286.275
08/25/2020,$286.13,2854466,$287.27,$287.48,$283.885
08/24/2020,$286.75,4430864,$284.99,$286.85,$281.9223
08/21/2020,$283.23,5504045,$279.97,$283.55,$278.42
08/20/2020,$280.68,3529991,$280.535,$281.91,$279.4351
08/19/2020,$282.86,4986759,$287.46,$287.97,$281.93
08/18/2020,$285,6934290,$288.9,$290.58,$283.04
08/17/2020,$288.24,5584428,$284.4,$289.2172,$283.57
08/14/2020,$280.55,2490422,$281.14,$282,$279.19
08/13/2020,$281.66,2202427,$281.16,$282.655,$279.74
08/12/2020,$281.58,3869967,$279.75,$282.9673,$276.96
08/11/2020,$274.92,3321260,$277.69,$279.37,$274.41
08/10/2020,$274.73,2393112,$272.42,$275,$271.795
08/07/2020,$271.64,2846290,$270.61,$274.9199,$269.81
08/06/2020,$269.37,2203428,$266.6,$270.44,$266.53
08/05/2020,$267.48,1963860,$268.39,$268.39,$265.89
08/04/2020,$267.87,2223957,$266.63,$267.89,$263.84
08/03/2020,$266.18,2364447,$266.73,$268.58,$265.67
07/31/2020,$265.49,3640388,$265,$267.17,$260.61
07/30/2020,$266.31,2347799,$263.34,$267.345,$261.55
07/29/2020,$264.66,2874097,$264.8,$267.105,$264.17
07/28/2020,$265.28,2226974,$268.56,$269.07,$264.6694
07/27/2020,$267.42,2412476,$265.09,$268.68,$265.09
07/24/2020,$265.31,2984507,$265.04,$266.89,$262.99
07/23/2020,$263.81,2680102,$267.8,$267.8,$261.8
07/22/2020,$265.17,2749966,$262.59,$265.59,$262
07/21/2020,$262.42,2440478,$261.62,$263.87,$260.72
07/20/2020,$260.17,2451072,$259.04,$261.2,$258.02
07/17/2020,$260.38,3094992,$260.03,$260.65,$257.72
07/16/2020,$258.08,2511224,$256.76,$260.5,$256
07/15/2020,$257.8,4343650,$260.14,$261.2878,$255.15
07/14/2020,$257.79,4614212,$249,$258.18,$248.46
07/13/2020,$249.62,4437469,$251.92,$257.86,$249.09
07/10/2020,$250.11,2745258,$248.29,$250.33,$246.635
07/09/2020,$247.96,2994695,$249.66,$250.51,$246.35
07/08/2020,$249.17,2293978,$247.87,$249.785,$246.22
07/07/2020,$247.35,2927762,$247.37,$250.78,$247.07
07/06/2020,$249.55,3133849,$250.27,$251.5,$247.04
07/02/2020,$248.5,3369796,$251.94,$252.3,$247.92
07/01/2020,$248.15,3677252,$249.65,$250.3295,$246.93
06/30/2020,$250.51,4524580,$247,$251.65,$246.09
06/29/2020,$246.12,3468293,$242.66,$246.5,$240.3401
06/26/2020,$241.01,5002690,$245.35,$246.1,$240.25
06/25/2020,$245.38,2938448,$244.8,$246.35,$242.2
06/24/2020,$246.13,3873027,$247.81,$250.2873,$242.73
06/23/2020,$250.31,3105348,$253,$253.44,$250.13
06/22/2020,$249.16,3815172,$245.7,$250.06,$245.51
06/19/2020,$246.65,11114630,$253.1,$254.3,$246.38
06/18/2020,$249.21,3347826,$249.36,$251.75,$247.13
06/17/2020,$250.85,4234003,$252.77,$254.62,$250.08
06/16/2020,$249.95,5296424,$249.4,$251.65,$242.87
06/15/2020,$241.36,6253342,$237.62,$242.2199,$234.31
06/12/2020,$242.45,5238493,$243.07,$246.39,$237.05
06/11/2020,$239.47,6563710,$248.86,$250.62,$238.74
06/10/2020,$254.45,3589810,$257.45,$259.2867,$254.22
06/09/2020,$256.76,3716430,$255.33,$258.29,$253.86
06/08/2020,$256.77,3811872,$252.49,$256.81,$252.26
06/05/2020,$254.9,5054333,$252.34,$255.85,$250.38
06/04/2020,$248.95,4759381,$249.77,$252.173,$247.47
06/03/2020,$251,4638114,$251.8,$252.825,$250.3913
06/02/2020,$252.71,5301049,$248.63,$252.72,$247
06/01/2020,$247.29,3409936,$249.41,$249.78,$245.87
05/29/2020,$248.48,5342824,$245.06,$249.71,$244.73
05/28/2020,$245.14,5261750,$249.52,$252.23,$244.43
05/27/2020,$247.36,4664800,$242.69,$247.39,$240.78
05/26/2020,$242.48,4535235,$248.15,$248.22,$242.07
05/22/2020,$241.88,3041768,$240.7,$242.34,$238.655
05/21/2020,$240.88,4772695,$237.62,$241.18,$235.79
05/20/2020,$238.19,7534153,$242,$242.27,$234.95
05/19/2020,$238.1,9386987,$240.45,$242.46,$237.8
05/18/2020,$245.35,8341251,$245.84,$248.3199,$244.04
05/15/2020,$239.33,16176260,$232.79,$243.23,$232.7
05/14/2020,$234.48,6434481,$226.37,$234.66,$226.2
05/13/2020,$230.1,6237154,$233.04,$236.3,$228.544
05/12/2020,$232.9,4399618,$238.57,$239.25,$232.9
05/11/2020,$236.56,4378313,$231.77,$238.77,$231.25
05/08/2020,$234.43,4367213,$232.7,$235.55,$231.15
05/07/2020,$229.45,4503029,$226.51,$231.6315,$226.4201
05/06/2020,$223.92,3321131,$227.37,$228.44,$223.8
05/05/2020,$225.61,4655164,$224.94,$228.85,$223.61
05/04/2020,$221.84,4090943,$216.68,$222.66,$215.21
05/01/2020,$218.57,3819299,$216.77,$219.7,$215.77
04/30/2020,$219.83,5152681,$216.79,$222.11,$216.52
04/29/2020,$221.81,4381069,$221.34,$224.17,$219.82
04/28/2020,$217.63,5080746,$223.99,$224.22,$216.91
04/27/2020,$217.76,5472779,$215.04,$220.94,$214.01
04/24/2020,$212.18,5026219,$204.73,$212.93,$203.85
04/23/2020,$202.32,3565518,$203.32,$206.97,$202.19
04/22/2020,$204.17,4071352,$201.89,$205.71,$201.14
04/21/2020,$200.61,4844962,$200.75,$204.34,$199.51
04/20/2020,$206.05,4753058,$206.13,$211.03,$205.36
04/17/2020,$209.42,6717580,$207.17,$210.25,$206.1631
04/16/2020,$199.85,7262770,$199.12,$202.21,$196.82
04/15/2020,$198.48,5693945,$198.67,$202.2351,$196.6141
04/14/2020,$207.17,5655443,$201.88,$209.725,$200.13
04/13/2020,$198.79,4415560,$200.45,$200.45,$195.37
04/09/2020,$201.53,7125726,$199.8,$205.99,$196.5
04/08/2020,$194.82,6094736,$194.21,$196.77,$191.54
04/07/2020,$192.29,6438763,$202.92,$204.11,$191.85
04/06/2020,$191.33,7454001,$188,$192.41,$185.1273
04/03/2020,$178.7,7299814,$179.56,$181.35,$174.94
04/02/2020,$181.31,6353948,$174.95,$182.72,$174
04/01/2020,$178.63,7858183,$175.91,$182.76,$175
03/31/2020,$186.71,7341134,$194.8,$195.49,$185.45
03/30/2020,$196.1,6936746,$190.57,$198.2,$187.61
